State,ST_CEN_CD,District,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Jharkhand,20,Bokaro,10,Population and Household Profile,Female population age 6 years and above who ever attended school (%),71.5,63.8
Jharkhand,20,Bokaro,10,Population and Household Profile,Population below age 15 years (%),27.3,29.4
Jharkhand,20,Bokaro,10,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1006,975
Jharkhand,20,Bokaro,10,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",899,926
Jharkhand,20,Bokaro,10,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),79.7,65
Jharkhand,20,Bokaro,10,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),35.2,0
Jharkhand,20,Bokaro,10,Population and Household Profile,Population living in households with electricity (%),97.3,88.5
Jharkhand,20,Bokaro,10,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),86.4,79.8
Jharkhand,20,Bokaro,10,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),64.4,35.7
Jharkhand,20,Bokaro,10,Population and Household Profile,Households using clean fuel for cooking3 (%),47,26.8
Jharkhand,20,Bokaro,10,Population and Household Profile,Households using iodized salt (%),95.7,98.8
Jharkhand,20,Bokaro,10,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),44.7,15.6
Jharkhand,20,Bokaro,10,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9,0
Jharkhand,20,Bokaro,10,Characteristics of Women,Women who are literate4 (%),69.2,0
Jharkhand,20,Bokaro,10,Characteristics of Women,Women with 10 or more years of schooling (%),45,35.9
Jharkhand,20,Bokaro,10,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),26.3,30.6
Jharkhand,20,Bokaro,10,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),1.2,2.6
Jharkhand,20,Bokaro,10,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.9,6.3
Jharkhand,20,Bokaro,10,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),80,66.4
Jharkhand,20,Bokaro,10,Current Use of Family Planning Methods,Any method6 (%),68.5,54.4
Jharkhand,20,Bokaro,10,Current Use of Family Planning Methods,Any modern method6 (%),59.6,51.1
Jharkhand,20,Bokaro,10,Current Use of Family Planning Methods,Female sterilization (%),45.2,45.5
Jharkhand,20,Bokaro,10,Current Use of Family Planning Methods,Male sterilization (%),0.4,0.5
Jharkhand,20,Bokaro,10,Current Use of Family Planning Methods,IUD/PPIUD (%),1.4,0.4
Jharkhand,20,Bokaro,10,Current Use of Family Planning Methods,Pill (%),4.1,1.4
Jharkhand,20,Bokaro,10,Current Use of Family Planning Methods,Condom (%),6.4,3
Jharkhand,20,Bokaro,10,Current Use of Family Planning Methods,Injectables (%),0.6,0.2
Jharkhand,20,Bokaro,10,Unmet Need for Family Planning,Total unmet need7 (%),9.5,17.5
Jharkhand,20,Bokaro,10,Unmet Need for Family Planning,Unmet need for spacing7 (%),4,8.7
Jharkhand,20,Bokaro,10,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),23.2,24.1
Jharkhand,20,Bokaro,10,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),40.1,34
Jharkhand,20,Bokaro,10,Maternal and Child Health,Mothers who had an antenatal check-up in the first trimester (%),68.2,63.9
Jharkhand,20,Bokaro,10,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),48.7,38.5
Jharkhand,20,Bokaro,10,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),90,95.6
Jharkhand,20,Bokaro,10,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),29.6,23.7
Jharkhand,20,Bokaro,10,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),22.5,7.3
Jharkhand,20,Bokaro,10,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),87.9,84.2
Jharkhand,20,Bokaro,10,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.5,52.7
Jharkhand,20,Bokaro,10,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs,3372,1958
Jharkhand,20,Bokaro,10,Maternal and Child Health,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.5,1.1
Jharkhand,20,Bokaro,10,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70,0
Jharkhand,20,Bokaro,10,Delivery Care,Institutional births (%),80.9,62.5
Jharkhand,20,Bokaro,10,Delivery Care,Institutional births in public facility (%),44.6,32.6
Jharkhand,20,Bokaro,10,Delivery Care,Home births that were conducted by skilled health personnel10 (%),8.5,10.6
Jharkhand,20,Bokaro,10,Delivery Care,Births attended by skilled health personnel10 (%),86.5,74.1
Jharkhand,20,Bokaro,10,Delivery Care,Births delivered by caesarean section (%),21,13.4
Jharkhand,20,Bokaro,10,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),41.5,39.4
Jharkhand,20,Bokaro,10,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),13.4,5.1
